id,name,display_name,lat,lon,crime_count,crime_examples
18194737,Sherman Oaks Neighborhood Council District,Sherman Oaks,34.1492572,-118.4446675,1116,"VEHICLE - STOLEN | SHOPLIFTING - PETTY THEFT ($950 & UNDER) | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER) | BURGLARY FROM VEHICLE | VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
18284559,Encino Neighborhood Council District,Encino,34.1564268,-118.5046272,507,SHOPLIFTING - PETTY THEFT ($950 & UNDER) | BURGLARY FROM VEHICLE | BURGLARY | VEHICLE - STOLEN | THEFT OF IDENTITY
18284560,Tarzana Neighborhood Council District,Tarzana,34.1562105,-118.5490233,202,"BURGLARY | THEFT OF IDENTITY | THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD | VEHICLE - STOLEN | VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
18284570,Chatsworth Neighborhood Council District,Chatsworth,34.2571339,-118.6048777,471,"VEHICLE - STOLEN | VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) | BATTERY - SIMPLE ASSAULT | TRESPASSING | THEFT OF IDENTITY"
18284571,Porter Ranch Neighborhood Council District,Porter Ranch,34.2878806,-118.5592008,237,BURGLARY FROM VEHICLE | THEFT OF IDENTITY | THEFT PLAIN - PETTY ($950 & UNDER) | SHOPLIFTING - PETTY THEFT ($950 & UNDER) | BURGLARY
18302562,Winnetka Neighborhood Council District,Winnetka,34.2106154,-118.5754189,782,VEHICLE - STOLEN | THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER) | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER) | THEFT OF IDENTITY | BATTERY - SIMPLE ASSAULT
18302563,Canoga Park Neighborhood Council District,Canoga Park,34.2146219,-118.6015988,832,VEHICLE - STOLEN | SHOPLIFTING - PETTY THEFT ($950 & UNDER) | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER) | THEFT OF IDENTITY | BURGLARY FROM VEHICLE
18302564,Woodland Hills-Warner Center Neighborhood Council District,Woodland Hills-Warner Center,34.163131,-118.614793,466,VEHICLE - STOLEN | BURGLARY | BURGLARY FROM VEHICLE | THEFT PLAIN - PETTY ($950 & UNDER) | THEFT OF IDENTITY
18303949,Greater Valley Glen Neighborhood Council District,Greater Valley Glen,34.1866407,-118.4144391,906,VEHICLE - STOLEN | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER) | THEFT OF IDENTITY | THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER) | BURGLARY FROM VEHICLE
18303950,North Hollywood West Neighborhood Council District,North Hollywood West,34.2041704,-118.4135017,935,"VEHICLE - STOLEN | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER) | VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) | THEFT OF IDENTITY | BURGLARY"
18303951,North Hollywood Northeast Neighborhood Council District,North Hollywood Northeast,34.2036986,-118.3829272,1257,"VEHICLE - STOLEN | SHOPLIFTING - PETTY THEFT ($950 & UNDER) | THEFT PLAIN - PETTY ($950 & UNDER) | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER) | VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
18303952,North Hollywood Neighborhood Council District,North Hollywood,34.1694729,-118.3786499,2388,"TRESPASSING | VEHICLE - STOLEN | BURGLARY FROM VEHICLE | THEFT PLAIN - PETTY ($950 & UNDER) | VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
18303953,Valley Village Neighborhood Council District,Valley Village,34.163285,-118.3956874,972,VEHICLE - STOLEN | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER) | THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER) | BURGLARY | THEFT OF IDENTITY
18303954,Greater Toluca Lake Neighborhood Council District,Greater Toluca Lake,34.154927,-118.3622738,1396,VEHICLE - STOLEN | BURGLARY FROM VEHICLE | THEFT PLAIN - PETTY ($950 & UNDER) | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER) | SHOPLIFTING - PETTY THEFT ($950 & UNDER)
18303955,Studio City Neighborhood Council District,Studio City,34.137897,-118.3910959,603,SHOPLIFTING - PETTY THEFT ($950 & UNDER) | BURGLARY | BURGLARY FROM VEHICLE | VEHICLE - STOLEN | THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
