id,name,display_name,lat,lon,zcta,acs_name,median_income,median_age,population,median_rent,median_home_value,owner_share,renter_share,single_family_pct,small_multi_pct,large_multi_pct
15048390,North Hills East Neighborhood Council District,North Hills East,34.2326161,-118.4625011,91343,ZCTA5 91343,81719.0,35.8,61607,1796.0,751000.0,49.32049518569463,50.67950481430537,56.85246942988724,4.388333068657032,38.07633264517495
15048391,North Hills West Neighborhood Council District,North Hills West,34.2351485,-118.4857186,91343,ZCTA5 91343,81719.0,35.8,61607,1796.0,751000.0,49.32049518569463,50.67950481430537,56.85246942988724,4.388333068657032,38.07633264517495
15059477,Panorama City Neighborhood Council District,Panorama City,34.2286517,-118.4451755,91402,ZCTA5 91402,56369.0,35.1,66710,1607.0,586500.0,34.36739961284558,65.63260038715441,37.35537190082645,5.63441905687895,56.90811861934857
15059478,Mission Hills Neighborhood Council District,Mission Hills,34.2713002,-118.4529373,91345,ZCTA5 91345,96345.0,42.3,18282,1846.0,654100.0,72.49043541628713,27.50956458371288,76.5691114245416,2.080394922425952,13.34626234132581
15059522,Sylmar Neighborhood Council District,Sylmar,34.3083124,-118.4514186,91342,ZCTA5 91342,95480.0,37.4,93513,1965.0,641100.0,67.73656020630827,32.26343979369173,72.52963678369882,3.7079119796992766,16.161042305798585
15339539,Van Nuys Neighborhood Council District,Van Nuys,34.1907345,-118.4505332,91405,ZCTA5 91405,61207.0,35.3,54887,1736.0,698100.0,26.79735071039419,73.20264928960582,30.178589446070024,11.275350620522651,57.678337201089704
15339540,Lake Balboa Neighborhood Council District,Lake Balboa,34.1912118,-118.4931452,91406,ZCTA5 91406,76653.0,37.0,52661,1859.0,765000.0,39.41735407747729,60.582645922522715,45.150127226463106,9.19083969465649,44.19338422391858
15339541,Reseda,Reseda,34.2037901,-118.5404374,91335,ZCTA5 91335,77164.0,39.4,74802,1811.0,700400.0,50.70149376908476,49.298506230915244,60.234237751317586,4.965840327932852,34.16747999219207
15339542,Northridge South Neighborhood Council District,Northridge South,34.2221591,-118.5336501,91325,ZCTA5 91325,92602.0,38.8,35116,1924.0,900200.0,45.791324736225086,54.20867526377491,51.28036289142523,4.097161252560726,44.2859233245537
15339543,Northridge East Neighborhood Council District,Northridge East,34.2568239,-118.5105726,91325,ZCTA5 91325,92602.0,38.8,35116,1924.0,900200.0,45.791324736225086,54.20867526377491,51.28036289142523,4.097161252560726,44.2859233245537
15339544,Granada Hills South Neighborhood Council District,Granada Hills South,34.2641803,-118.5007291,91344,ZCTA5 91344,116647.0,43.5,53248,2276.0,872000.0,72.08281759873974,27.917182401260266,84.53104646113765,3.0449413808076424,12.022362136343899
15339545,Northridge West Neighborhood Council District,Northridge West,34.2535248,-118.5501567,91324,ZCTA5 91324,99834.0,38.7,29510,2286.0,869200.0,48.492101483963616,51.50789851603638,54.47931276297335,3.4098877980364657,40.55049088359046
15339546,Granada Hills North Neighborhood Council District,Granada Hills North,34.3006103,-118.5073097,91344,ZCTA5 91344,116647.0,43.5,53248,2276.0,872000.0,72.08281759873974,27.917182401260266,84.53104646113765,3.0449413808076424,12.022362136343899
15899803,Arleta Neighborhood Council District,Arleta,34.243174,-118.429436,91331,ZCTA5 91331,82025.0,34.7,98820,1818.0,609300.0,62.83642993575273,37.16357006424727,78.05734347571679,5.579704087603444,14.390203126306112
15899804,Pacoima Neighborhood Council,Pacoima,34.2663229,-118.4065859,91331,ZCTA5 91331,82025.0,34.7,98820,1818.0,609300.0,62.83642993575273,37.16357006424727,78.05734347571679,5.579704087603444,14.390203126306112
16741092,West Hills Neighborhood Council District,West Hills,34.2096098,-118.6354439,91304,ZCTA5 91304,82289.0,40.9,53794,1927.0,847600.0,51.233055691654414,48.766944308345586,53.23973509933775,4.042384105960265,37.94966887417219
17307354,Los Feliz Neighborhood Council District,Los Feliz,34.1286081,-118.2985312,90027,ZCTA5 90027,90532.0,38.2,46049,1904.0,1747200.0,20.302723592197278,79.69727640780272,27.057320641199983,22.322495570115795,50.62018378868422
18194737,Sherman Oaks Neighborhood Council District,Sherman Oaks,34.1492572,-118.4446675,91423,ZCTA5 91423,112119.0,40.8,32536,2239.0,1323500.0,37.460420032310175,62.53957996768982,36.09545509053844,11.859935244034057,51.94867490106727
18284559,Encino Neighborhood Council District,Encino,34.1564268,-118.5046272,91316,ZCTA5 91316,90802.0,44.9,29246,2104.0,909700.0,50.18642224638808,49.81357775361193,44.05234524334657,2.2717247463608294,53.49213350977797
18284560,Tarzana Neighborhood Council District,Tarzana,34.1562105,-118.5490233,91356,ZCTA5 91356,110094.0,43.3,30809,2027.0,1177200.0,57.540106951871664,42.45989304812834,56.799056232795905,4.561541486433347,38.63940228077074
18284570,Chatsworth Neighborhood Council District,Chatsworth,34.2571339,-118.6048777,91311,ZCTA5 91311,117574.0,42.3,40557,2199.0,837300.0,66.79869362796192,33.20130637203808,69.2250823308018,4.812151354257678,22.25956045433161
18284571,Porter Ranch Neighborhood Council District,Porter Ranch,34.2878806,-118.5592008,91326,ZCTA5 91326,148636.0,43.8,37068,2995.0,1011100.0,76.15848007414272,23.841519925857273,87.1689831748354,0.46817849305047554,12.36283833211412
18302562,Winnetka Neighborhood Council District,Winnetka,34.2106154,-118.5754189,91306,ZCTA5 91306,88958.0,38.1,48177,1909.0,719900.0,56.603388446621764,43.396611553378236,66.28887717448603,2.7082235108065364,30.245123879810226
